,AAE_avg,AAE_std,AAE_min,AAE_max,AAE_gen,AAE_nevals,size_avg,size_std,size_min,size_max,size_gen,size_nevals
1744,2644.344505399094,18484.138421828655,26.393103792470814,159333.23185714995,1745.0,147.0,301.3066666666667,39.86944471926117,10.0,348.0,1745.0,147.0
1745,2422.0392911639565,17147.723218599305,26.393103792470814,153889.88895816158,1746.0,147.0,303.08,44.35801618647976,3.0,396.0,1746.0,147.0
1746,1848.361293146311,12579.510821679578,26.393103792470814,91384.54793400802,1747.0,147.0,303.05333333333334,36.876693030814046,133.0,398.0,1747.0,147.0
1747,2220.460835859644,15372.768391362944,26.393103792470814,118940.89180651974,1748.0,147.0,297.00666666666666,43.42341866883454,32.0,350.0,1748.0,147.0
1748,1414.3574396303745,11942.519492620917,26.393103792470814,115669.90997242795,1749.0,147.0,295.97333333333336,46.396687621232424,3.0,512.0,1749.0,147.0
1749,1442.7492125209142,12218.018762914922,26.393103792470814,121854.4400611274,1750.0,147.0,289.05333333333334,47.163656441044616,100.0,425.0,1750.0,147.0
1750,813.9877604314747,9506.487241397643,26.393103792470814,116854.83834428857,1751.0,147.0,288.99333333333334,47.86696796562555,40.0,351.0,1751.0,147.0
1751,2463.9685545447032,17430.544003001203,26.393103792470814,157178.19178691242,1752.0,147.0,291.70666666666665,43.29688929036614,131.0,372.0,1752.0,147.0
1752,2441.628558294997,17227.24251742708,26.393103792470814,153726.6485358324,1753.0,147.0,281.76666666666665,57.994415439956136,5.0,380.0,1753.0,147.0
1753,5285.658175388856,24188.836120623568,26.393103792470814,157591.92709550768,1754.0,147.0,281.2266666666667,65.1766979491563,6.0,382.0,1754.0,147.0
1754,26296.826496558657,280024.68075971754,26.393103792470814,3435329.8845559414,1755.0,147.0,284.31333333333333,58.38665791276482,83.0,480.0,1755.0,147.0
1755,393.3457612650942,4347.840738236691,26.393103792470814,53461.15646154608,1756.0,147.0,294.4066666666667,53.774107358674236,133.0,384.0,1756.0,147.0
1756,613.801500599369,7106.068268398362,26.393103792470814,87354.39348227432,1757.0,147.0,277.6933333333333,67.08879157918672,3.0,376.0,1757.0,147.0
