,AAE_avg,AAE_std,AAE_min,AAE_max,AAE_gen,AAE_nevals,size_avg,size_std,size_min,size_max,size_gen,size_nevals,height_avg,height_std,height_min,height_max,height_gen,height_nevals
0,9.545058790143321e+300,inf,54.67453705555882,1.7234759621127388e+303,1.0,197.0,2.785,1.1742125020625525,1.0,8.0,1.0,197.0,1.34,0.6118823416311342,0.0,4.0,1.0,197.0
1,6.754581782706105e+299,inf,54.44505523899922,1.3509163565412212e+302,2.0,197.0,2.925,1.410452055193653,1.0,8.0,2.0,197.0,1.325,0.7411983540186796,0.0,4.0,2.0,197.0
2,4.393610163916195e+297,inf,54.44505523899922,8.78722032783239e+299,3.0,197.0,2.95,1.5124483462254175,1.0,9.0,3.0,197.0,1.315,0.7847133234500354,0.0,4.0,3.0,197.0
3,14676.049481251035,92786.74750884685,54.0719892936761,1249670.4163428105,4.0,197.0,3.12,1.5670354175959138,1.0,9.0,4.0,197.0,1.42,0.8447484832777151,0.0,4.0,4.0,197.0
4,4604.520373494559,21078.132567763056,54.0719892936761,141572.38587775422,5.0,197.0,3.585,1.665165156973926,1.0,11.0,5.0,197.0,1.605,0.8882426470283895,0.0,5.0,5.0,197.0
5,2.925506557173617e+302,inf,54.0719892936761,5.851013114347234e+304,6.0,197.0,3.82,1.669610733075228,1.0,12.0,6.0,197.0,1.73,0.9418598621875761,0.0,5.0,6.0,197.0
6,8914.654061398602,35450.113389739745,52.20859685269136,307935.7686378917,7.0,197.0,4.055,1.4805319989787458,1.0,9.0,7.0,197.0,1.895,0.9295025551336585,0.0,5.0,7.0,197.0
7,5732.910629393678,24040.186191441233,52.20859685269136,130837.55443494598,8.0,197.0,4.175,1.2745097096530884,1.0,9.0,8.0,197.0,2.005,0.9407310986674141,0.0,5.0,8.0,197.0
8,35059806.68082934,494477263.28005916,52.20859685269136,7010519954.582319,9.0,197.0,4.32,1.2520383380711628,1.0,9.0,9.0,197.0,2.13,0.9659710140578753,0.0,7.0,9.0,197.0
9,6.3124425347391545e+299,inf,52.20859685269136,1.2624885069478309e+302,10.0,197.0,4.155,1.33827314102914,1.0,9.0,10.0,197.0,2.015,1.031879353412985,0.0,7.0,10.0,197.0
