,Bt_carrington_4,Bx_carrington_4,By_carrington_4,Bz_carrington_4,speed_carrington_4,p_density_carrington_4,temperature_carrington_4,Bt_1d_4,Bx_1d_4,By_1d_4,Bz_1d_4,speed_1d_4,p_density_1d_4,temperature_1d_4,Bt_carrington_3,Bx_carrington_3,By_carrington_3,Bz_carrington_3,speed_carrington_3,p_density_carrington_3,temperature_carrington_3,Bt_1d_3,Bx_1d_3,By_1d_3,Bz_1d_3,speed_1d_3,p_density_1d_3,temperature_1d_3,Bt_carrington_2,Bx_carrington_2,By_carrington_2,Bz_carrington_2,speed_carrington_2,p_density_carrington_2,temperature_carrington_2,Bt_1d_2,Bx_1d_2,By_1d_2,Bz_1d_2,speed_1d_2,p_density_1d_2,temperature_1d_2,Bt_carrington_1,Bx_carrington_1,By_carrington_1,Bz_carrington_1,speed_carrington_1,p_density_carrington_1,temperature_carrington_1,Bt_1d_1,Bx_1d_1,By_1d_1,Bz_1d_1,speed_1d_1,p_density_1d_1,temperature_1d_1,forecast
8,5.786610909090912,0.682494545454544,-2.7241599999999977,3.078450909090907,364.9198405668734,5.315146147032773,24058.056687333923,6.510721153846163,1.437668269230768,-3.668269230769228,1.3595833333333334,410.8868131868131,5.711198801198806,194956.18181818185,6.971494688922614,1.9457207890743573,-4.415204855842188,0.4126403641881629,406.891311754684,5.930068143100509,104758.29642248724,5.718518781006375,1.51075124025514,-3.3115804394046817,0.0635010630758322,465.4034672970844,4.769826635145791,143676.59495665878,4.754316596931653,1.9840446304044632,-1.6678451882845178,-0.0806066945606703,470.7916222391473,3.398134044173649,122112.98018292684,5.445335689045943,1.5641413427561852,-0.1682614840989384,0.3624664310954064,502.3394938650316,4.100099693251529,142177.44623655913,4.650750350631139,2.508702664796637,-2.361893408134639,-0.2035413744740531,518.1027067669179,1.5048872180451114,209650.0843373494,5.8707351891506105,3.750271234832264,-1.639236259814422,-0.2084582441113489,487.3262852404654,3.711849087893865,136353.84236864053,491.90919152971134
9,6.971494688922614,1.9457207890743573,-4.415204855842188,0.4126403641881629,406.891311754684,5.930068143100509,104758.29642248724,5.718518781006375,1.51075124025514,-3.3115804394046817,0.0635010630758322,465.4034672970844,4.769826635145791,143676.59495665878,4.754316596931653,1.9840446304044632,-1.6678451882845178,-0.0806066945606703,470.7916222391473,3.398134044173649,122112.98018292684,5.445335689045943,1.5641413427561852,-0.1682614840989384,0.3624664310954064,502.3394938650316,4.100099693251529,142177.44623655913,4.650750350631139,2.508702664796637,-2.361893408134639,-0.2035413744740531,518.1027067669179,1.5048872180451114,209650.0843373494,5.8707351891506105,3.750271234832264,-1.639236259814422,-0.2084582441113489,487.3262852404654,3.711849087893865,136353.84236864053,3.855368271954674,1.730396600566569,-2.5302124645892343,0.3377903682719558,429.1395958083832,3.227799401197608,48999.740435108775,9.3936730038023,3.542973384030414,-4.807718631178714,0.8866996197718658,640.3300246103362,4.714757998359316,221729.92023026315,603.0166596097633
10,4.754316596931653,1.9840446304044632,-1.6678451882845178,-0.0806066945606703,470.7916222391473,3.398134044173649,122112.98018292684,5.445335689045943,1.5641413427561852,-0.1682614840989384,0.3624664310954064,502.3394938650316,4.100099693251529,142177.44623655913,4.650750350631139,2.508702664796637,-2.361893408134639,-0.2035413744740531,518.1027067669179,1.5048872180451114,209650.0843373494,5.8707351891506105,3.750271234832264,-1.639236259814422,-0.2084582441113489,487.3262852404654,3.711849087893865,136353.84236864053,3.855368271954674,1.730396600566569,-2.5302124645892343,0.3377903682719558,429.1395958083832,3.227799401197608,48999.740435108775,9.3936730038023,3.542973384030414,-4.807718631178714,0.8866996197718658,640.3300246103362,4.714757998359316,221729.92023026315,4.804132352941188,2.43426470588236,-3.1604117647058816,-0.8943897058823523,420.9356420233463,3.051291828793778,50960.4068589244,7.735875785066312,4.400851360781577,-2.703663642707603,-4.856699232379638,573.2515797207944,1.2535855988243956,109309.11340206186,567.6661326761596
11,4.650750350631139,2.508702664796637,-2.361893408134639,-0.2035413744740531,518.1027067669179,1.5048872180451114,209650.0843373494,5.8707351891506105,3.750271234832264,-1.639236259814422,-0.2084582441113489,487.3262852404654,3.711849087893865,136353.84236864053,3.855368271954674,1.730396600566569,-2.5302124645892343,0.3377903682719558,429.1395958083832,3.227799401197608,48999.740435108775,9.3936730038023,3.542973384030414,-4.807718631178714,0.8866996197718658,640.3300246103362,4.714757998359316,221729.92023026315,4.804132352941188,2.43426470588236,-3.1604117647058816,-0.8943897058823523,420.9356420233463,3.051291828793778,50960.4068589244,7.735875785066312,4.400851360781577,-2.703663642707603,-4.856699232379638,573.2515797207944,1.2535855988243956,109309.11340206186,4.124401433691759,-1.1435340501792093,2.7545519713261646,-0.0753620071684593,353.7810359231419,5.52910609857978,26911.67418546366,4.509542897327706,1.8293670886075903,-1.2831434599156106,-0.3695569620253166,600.46483433735,1.9234638554216867,165983.5339366516,583.759853044806
12,3.855368271954674,1.730396600566569,-2.5302124645892343,0.3377903682719558,429.1395958083832,3.227799401197608,48999.740435108775,9.3936730038023,3.542973384030414,-4.807718631178714,0.8866996197718658,640.3300246103362,4.714757998359316,221729.92023026315,4.804132352941188,2.43426470588236,-3.1604117647058816,-0.8943897058823523,420.9356420233463,3.051291828793778,50960.4068589244,7.735875785066312,4.400851360781577,-2.703663642707603,-4.856699232379638,573.2515797207944,1.2535855988243956,109309.11340206186,4.124401433691759,-1.1435340501792093,2.7545519713261646,-0.0753620071684593,353.7810359231419,5.52910609857978,26911.67418546366,4.509542897327706,1.8293670886075903,-1.2831434599156106,-0.3695569620253166,600.46483433735,1.9234638554216867,165983.5339366516,4.858632478632482,-2.6926262626262663,2.3111810411810407,-0.5659673659673652,387.5248407643309,5.400300272975443,88838.96542311192,3.6238412921348258,1.7441221910112354,-0.1397542134831456,0.240280898876403,593.1074272588056,1.773644716692191,140677.83128834356,536.1596670780228
18,4.491134564643801,-1.0132189973614765,2.565224274406332,-0.3700175901495164,383.3962303664917,4.57857591623037,57792.05340314137,6.678738277919873,0.9314151747655578,-4.952472293265141,-0.0484484228473991,404.9751219512193,5.9892390243902405,64839.68390243902,3.758372905027932,-0.852353351955308,0.8056983240223458,-0.1592108938547485,411.43164835164856,6.036556776556781,56771.68914956012,8.748507352941166,-2.310720588235296,-4.317139705882355,2.295051470588238,408.4435733819511,9.83960802187783,34559.20894160584,3.077962962962961,-2.0730246913580244,1.526234567901231,-0.1575514403292183,401.68715596330287,3.5747247706421987,47812.39678899082,4.741894659839075,-3.040760790051205,2.1338258961228966,0.5203365032918809,387.97576036866326,3.460608294930872,82099.81843317972,2.90863436123348,-1.9597944199706303,1.377687224669603,0.3454845814977977,318.61150870406203,3.605764023210831,13734.614119922631,6.82814728682171,-2.7951937984496102,1.7732635658914722,0.6242480620155029,409.5828877005347,7.425320855614977,99513.84375,455.8234737702145
36,7.735875785066312,4.400851360781577,-2.703663642707603,-4.856699232379638,573.2515797207944,1.2535855988243956,109309.11340206186,5.836944894651538,1.0985494327390612,-0.9413452188006488,1.6155429497568852,369.1149899396374,5.474255533199188,80428.0291750503,4.509542897327706,1.8293670886075903,-1.2831434599156106,-0.3695569620253166,600.46483433735,1.9234638554216867,165983.5339366516,3.838365695792891,2.6994093851132663,-1.453195792880261,-0.5720631067961177,376.0148858447492,3.4113515981735203,38851.10242085661,3.6238412921348258,1.7441221910112354,-0.1397542134831456,0.240280898876403,593.1074272588056,1.773644716692191,140677.83128834356,3.2022533136966125,1.903608247422679,0.1628350515463912,-1.2364801178203215,358.4282666666669,4.854533333333334,17644.603555555557,3.351354166666664,1.0867931547619072,-1.970639880952384,-0.2349255952380952,463.0490612244896,1.795485714285712,52058.79428571429,9.230494233937389,1.8811532125205928,-1.7964662273476086,0.1149093904448099,451.0180924287119,15.930068829891823,209928.069813176,617.7903303840999
37,4.509542897327706,1.8293670886075903,-1.2831434599156106,-0.3695569620253166,600.46483433735,1.9234638554216867,165983.5339366516,3.838365695792891,2.6994093851132663,-1.453195792880261,-0.5720631067961177,376.0148858447492,3.4113515981735203,38851.10242085661,3.6238412921348258,1.7441221910112354,-0.1397542134831456,0.240280898876403,593.1074272588056,1.773644716692191,140677.83128834356,3.2022533136966125,1.903608247422679,0.1628350515463912,-1.2364801178203215,358.4282666666669,4.854533333333334,17644.603555555557,3.351354166666664,1.0867931547619072,-1.970639880952384,-0.2349255952380952,463.0490612244896,1.795485714285712,52058.79428571429,9.230494233937389,1.8811532125205928,-1.7964662273476086,0.1149093904448099,451.0180924287119,15.930068829891823,209928.069813176,3.244012511170685,-1.3381411974977675,-0.3398123324396781,1.464843610366399,398.2926503340763,3.371714922048997,26447.017817371936,5.76448083623692,3.3672613240418108,-2.678118466898954,-0.3669477351916379,662.2571964017985,2.512766116941532,248849.32458770616,628.3213491802492
38,3.6238412921348258,1.7441221910112354,-0.1397542134831456,0.240280898876403,593.1074272588056,1.773644716692191,140677.83128834356,3.2022533136966125,1.903608247422679,0.1628350515463912,-1.2364801178203215,358.4282666666669,4.854533333333334,17644.603555555557,3.351354166666664,1.0867931547619072,-1.970639880952384,-0.2349255952380952,463.0490612244896,1.795485714285712,52058.79428571429,9.230494233937389,1.8811532125205928,-1.7964662273476086,0.1149093904448099,451.0180924287119,15.930068829891823,209928.069813176,3.244012511170685,-1.3381411974977675,-0.3398123324396781,1.464843610366399,398.2926503340763,3.371714922048997,26447.017817371936,5.76448083623692,3.3672613240418108,-2.678118466898954,-0.3669477351916379,662.2571964017985,2.512766116941532,248849.32458770616,6.678738277919873,0.9314151747655578,-4.952472293265141,-0.0484484228473991,404.9751219512193,5.9892390243902405,64839.68390243902,3.7141791044776102,2.1245447761194045,-0.9734029850746284,-0.5859776119402983,636.6879746835443,1.533797468354431,133113.4267631103,570.2545682027056
39,3.351354166666664,1.0867931547619072,-1.970639880952384,-0.2349255952380952,463.0490612244896,1.795485714285712,52058.79428571429,9.230494233937389,1.8811532125205928,-1.7964662273476086,0.1149093904448099,451.0180924287119,15.930068829891823,209928.069813176,3.244012511170685,-1.3381411974977675,-0.3398123324396781,1.464843610366399,398.2926503340763,3.371714922048997,26447.017817371936,5.76448083623692,3.3672613240418108,-2.678118466898954,-0.3669477351916379,662.2571964017985,2.512766116941532,248849.32458770616,6.678738277919873,0.9314151747655578,-4.952472293265141,-0.0484484228473991,404.9751219512193,5.9892390243902405,64839.68390243902,3.7141791044776102,2.1245447761194045,-0.9734029850746284,-0.5859776119402983,636.6879746835443,1.533797468354431,133113.4267631103,8.748507352941166,-2.310720588235296,-4.317139705882355,2.295051470588238,408.4435733819511,9.83960802187783,34559.20894160584,2.65356032568468,1.0725980754996298,-0.475625462620282,0.2602146558105125,570.9393501805071,1.7695487364620943,108731.8583032491,531.5329650627534
