Column1;Bt_carrington_4;Bx_carrington_4;By_carrington_4;Bz_carrington_4;speed_carrington_4;p_density_carrington_4;temperature_carrington_4;Bt_1d_4;Bx_1d_4;By_1d_4;Bz_1d_4;speed_1d_4;p_density_1d_4;temperature_1d_4;Bt_carrington_3;Bx_carrington_3;By_carrington_3;Bz_carrington_3;speed_carrington_3;p_density_carrington_3;temperature_carrington_3;Bt_1d_3;Bx_1d_3;By_1d_3;Bz_1d_3;speed_1d_3;p_density_1d_3;temperature_1d_3;Bt_carrington_2;Bx_carrington_2;By_carrington_2;Bz_carrington_2;speed_carrington_2;p_density_carrington_2;temperature_carrington_2;Bt_1d_2;Bx_1d_2;By_1d_2;Bz_1d_2;speed_1d_2;p_density_1d_2;temperature_1d_2;Bt_carrington_1;Bx_carrington_1;By_carrington_1;Bz_carrington_1;speed_carrington_1;p_density_carrington_1;temperature_carrington_1;Bt_1d_1;Bx_1d_1;By_1d_1;Bz_1d_1;speed_1d_1;p_density_1d_1;temperature_1d_1;forecast
15;4.85863E+15;-2.69263E+16;2.31118E+16;-5.65967E+15;3.87525E+15;5.4003E+15;8.8839E+15;3.62384E+16;1.74412E+16;-1.39754E+15;2.40281E+14;5.93107E+15;1.77364E+15;1.40678E+16;5.92408E+15;-3.13756E+15;2.64242E+15;3.8335E+15;4.64843E+15;5.1174E+15;1.29234E+16;3.35135E+15;1.08679E+16;-1.97064E+15;-2.34926E+15;4.63049E+15;1.79549E+15;5.20588E+15;5.11801E+15;-2.70997E+16;2.37267E+15;1.19586E+16;4.20382E+15;4.58252E+15;5.25562E+15;3.24401E+15;-1.33814E+16;-3.39812E+15;1.46484E+15;3.98293E+15;3.37171E+15;2.6447E+16;4.49113E+15;-1.01322E+16;2.56522E+15;-3.70018E+15;3.83396E+15;4.57858E+14;5.77921E+15;6.67874E+15;9.31415E+15;-4.95247E+15;-4.84484E+14;4.04975E+15;5.98924E+16;6.48397E+15;4.39778E+16
16;5.92408E+15;-3.13756E+15;2.64242E+15;3.8335E+15;4.64843E+15;5.1174E+15;1.29234E+16;3.35135E+15;1.08679E+16;-1.97064E+15;-2.34926E+15;4.63049E+15;1.79549E+15;5.20588E+15;5.11801E+15;-2.70997E+16;2.37267E+15;1.19586E+16;4.20382E+15;4.58252E+15;5.25562E+15;3.24401E+15;-1.33814E+16;-3.39812E+15;1.46484E+15;3.98293E+15;3.37171E+15;2.6447E+16;4.49113E+15;-1.01322E+16;2.56522E+15;-3.70018E+15;3.83396E+15;4.57858E+14;5.77921E+15;6.67874E+15;9.31415E+15;-4.95247E+15;-4.84484E+14;4.04975E+15;5.98924E+16;6.48397E+15;3.75837E+15;-8.52353E+14;8.05698E+15;-1.59211E+15;4.11432E+16;6.03656E+15;5.67717E+15;8.74851E+15;-2.31072E+15;-4.31714E+15;2.29505E+15;4.08444E+15;9.83961E+14;3.45592E+15;4.27037E+16
17;5.11801E+15;-2.70997E+16;2.37267E+15;1.19586E+16;4.20382E+15;4.58252E+15;5.25562E+15;3.24401E+15;-1.33814E+16;-3.39812E+15;1.46484E+15;3.98293E+15;3.37171E+15;2.6447E+16;4.49113E+15;-1.01322E+16;2.56522E+15;-3.70018E+15;3.83396E+15;4.57858E+14;5.77921E+15;6.67874E+15;9.31415E+15;-4.95247E+15;-4.84484E+14;4.04975E+15;5.98924E+16;6.48397E+15;3.75837E+15;-8.52353E+14;8.05698E+15;-1.59211E+15;4.11432E+16;6.03656E+15;5.67717E+15;8.74851E+15;-2.31072E+15;-4.31714E+15;2.29505E+15;4.08444E+15;9.83961E+14;3.45592E+15;3.07796E+15;-2.07302E+16;1.52623E+15;-1.57551E+15;4.01687E+16;3.57472E+16;4.78124E+15;4.74189E+15;-3.04076E+15;2.13383E+16;5.20337E+15;3.87976E+16;3.46061E+15;8.20998E+15;3.72285E+15
19;3.75837E+15;-8.52353E+14;8.05698E+15;-1.59211E+15;4.11432E+16;6.03656E+15;5.67717E+15;8.74851E+15;-2.31072E+15;-4.31714E+15;2.29505E+15;4.08444E+15;9.83961E+14;3.45592E+15;3.07796E+15;-2.07302E+16;1.52623E+15;-1.57551E+15;4.01687E+16;3.57472E+16;4.78124E+15;4.74189E+15;-3.04076E+15;2.13383E+16;5.20337E+15;3.87976E+16;3.46061E+15;8.20998E+15;2.90863E+14;-1.95979E+16;1.37769E+15;3.45485E+15;3.18612E+16;3.60576E+15;1.37346E+16;6.82815E+14;-2.79519E+16;1.77326E+16;6.24248E+15;4.09583E+15;7.42532E+15;9951384375;3.07966E+16;-1.6867E+16;-7.5E+13;1.43196E+15;2.9339E+16;5.35932E+15;2.0222E+15;5.13539E+15;-2.31764E+15;3.15162E+16;4.27883E+15;4.8166E+15;3.5288E+15;1.39121E+15;4.25043E+16
20;3.07796E+15;-2.07302E+16;1.52623E+15;-1.57551E+15;4.01687E+16;3.57472E+16;4.78124E+15;4.74189E+15;-3.04076E+15;2.13383E+16;5.20337E+15;3.87976E+16;3.46061E+15;8.20998E+15;2.90863E+14;-1.95979E+16;1.37769E+15;3.45485E+15;3.18612E+16;3.60576E+15;1.37346E+16;6.82815E+14;-2.79519E+16;1.77326E+16;6.24248E+15;4.09583E+15;7.42532E+15;9951384375;3.07966E+16;-1.6867E+16;-7.5E+13;1.43196E+15;2.9339E+16;5.35932E+15;2.0222E+15;5.13539E+15;-2.31764E+15;3.15162E+16;4.27883E+15;4.8166E+15;3.5288E+15;1.39121E+15;4.18658E+15;-1.4622E+16;1.92336E+16;-7.27015E+15;2.93412E+15;9.17312E+15;1.63027E+16;4.07598E+15;-8.54118E+15;2.50001E+15;7.51089E+15;4.52671E+15;3.31356E+15;8.2139E+15;4.01967E+15
21;2.90863E+14;-1.95979E+16;1.37769E+15;3.45485E+15;3.18612E+16;3.60576E+15;1.37346E+16;6.82815E+14;-2.79519E+16;1.77326E+16;6.24248E+15;4.09583E+15;7.42532E+15;9951384375;3.07966E+16;-1.6867E+16;-7.5E+13;1.43196E+15;2.9339E+16;5.35932E+15;2.0222E+15;5.13539E+15;-2.31764E+15;3.15162E+16;4.27883E+15;4.8166E+15;3.5288E+15;1.39121E+15;4.18658E+15;-1.4622E+16;1.92336E+16;-7.27015E+15;2.93412E+15;9.17312E+15;1.63027E+16;4.07598E+15;-8.54118E+15;2.50001E+15;7.51089E+15;4.52671E+15;3.31356E+15;8.2139E+15;5.77681E+15;4.8286E+15;2.72413E+15;1.25729E+16;3.45631E+15;1.22441E+16;5.57318E+15;3.83296E+15;-2.63179E+16;4.79536E+15;1.04964E+16;3.90713E+15;3.1192E+16;6.50487E+15;3.53096E+14
22;3.07966E+16;-1.6867E+16;-7.5E+13;1.43196E+15;2.9339E+16;5.35932E+15;2.0222E+15;5.13539E+15;-2.31764E+15;3.15162E+16;4.27883E+15;4.8166E+15;3.5288E+15;1.39121E+15;4.18658E+15;-1.4622E+16;1.92336E+16;-7.27015E+15;2.93412E+15;9.17312E+15;1.63027E+16;4.07598E+15;-8.54118E+15;2.50001E+15;7.51089E+15;4.52671E+15;3.31356E+15;8.2139E+15;5.77681E+15;4.8286E+15;2.72413E+15;1.25729E+16;3.45631E+15;1.22441E+16;5.57318E+15;3.83296E+15;-2.63179E+16;4.79536E+15;1.04964E+16;3.90713E+15;3.1192E+16;6.50487E+15;5.02811E+15;-1.71268E+16;3.34428E+15;-2.36094E+15;3.95168E+15;4.90516E+13;7.78937E+15;4.00823E+14;-1.50849E+16;2.76651E+16;-2.83339E+15;3.56287E+15;4.44943E+15;2.45004E+15;3.57749E+15
23;4.18658E+15;-1.4622E+16;1.92336E+16;-7.27015E+15;2.93412E+15;9.17312E+15;1.63027E+16;4.07598E+15;-8.54118E+15;2.50001E+15;7.51089E+15;4.52671E+15;3.31356E+15;8.2139E+15;5.77681E+15;4.8286E+15;2.72413E+15;1.25729E+16;3.45631E+15;1.22441E+16;5.57318E+15;3.83296E+15;-2.63179E+16;4.79536E+15;1.04964E+16;3.90713E+15;3.1192E+16;6.50487E+15;5.02811E+15;-1.71268E+16;3.34428E+15;-2.36094E+15;3.95168E+15;4.90516E+13;7.78937E+15;4.00823E+14;-1.50849E+16;2.76651E+16;-2.83339E+15;3.56287E+15;4.44943E+15;2.45004E+15;7.1207E+15;-2.73011E+15;4.9621E+15;2.02579E+15;3.93541E+15;5.36346E+15;8.44669E+15;3.08615E+16;2.46266E+15;-1.27132E+16;-5.4055E+14;3.60399E+15;6.55214E+14;5.67421E+16;3.39708E+15
24;5.77681E+15;4.8286E+15;2.72413E+15;1.25729E+16;3.45631E+15;1.22441E+16;5.57318E+15;3.83296E+15;-2.63179E+16;4.79536E+15;1.04964E+16;3.90713E+15;3.1192E+16;6.50487E+15;5.02811E+15;-1.71268E+16;3.34428E+15;-2.36094E+15;3.95168E+15;4.90516E+13;7.78937E+15;4.00823E+14;-1.50849E+16;2.76651E+16;-2.83339E+15;3.56287E+15;4.44943E+15;2.45004E+15;7.1207E+15;-2.73011E+15;4.9621E+15;2.02579E+15;3.93541E+15;5.36346E+15;8.44669E+15;3.08615E+16;2.46266E+15;-1.27132E+16;-5.4055E+14;3.60399E+15;6.55214E+14;5.67421E+16;5.69834E+15;-3.64057E+16;2.15831E+15;-1.08262E+16;4.19163E+15;3.41769E+15;1.19341E+15;4.46252E+15;2.13749E+16;-2.81788E+15;-1.6192E+15;3.36181E+15;8.41876E+15;4.86443E+16;3.38025E+15
25;5.02811E+15;-1.71268E+16;3.34428E+15;-2.36094E+15;3.95168E+15;4.90516E+13;7.78937E+15;4.00823E+14;-1.50849E+16;2.76651E+16;-2.83339E+15;3.56287E+15;4.44943E+15;2.45004E+15;7.1207E+15;-2.73011E+15;4.9621E+15;2.02579E+15;3.93541E+15;5.36346E+15;8.44669E+15;3.08615E+16;2.46266E+15;-1.27132E+16;-5.4055E+14;3.60399E+15;6.55214E+14;5.67421E+16;5.69834E+15;-3.64057E+16;2.15831E+15;-1.08262E+16;4.19163E+15;3.41769E+15;1.19341E+15;4.46252E+15;2.13749E+16;-2.81788E+15;-1.6192E+15;3.36181E+15;8.41876E+15;4.86443E+16;4.02533E+15;1.15028E+15;-3.05877E+15;-2.02199E+15;3.77939E+15;6.67467E+15;4.91733E+15;6.01285E+15;8.14045E+15;8.97216E+14;6.09126E+14;3.78987E+15;7.03022E+15;6.90393E+15;3.87267E+15
