,AAE_avg,AAE_std,AAE_min,AAE_max,AAE_gen,AAE_nevals,size_avg,size_std,size_min,size_max,size_gen,size_nevals,height_avg,height_std,height_min,height_max,height_gen,height_nevals
0,5.689931184880639e+297,inf,27.93869320509883,1.1379552662421414e+300,1.0,197.0,2.805,1.0329448194361595,1.0,6.0,1.0,197.0,1.375,0.5952940449895329,0.0,4.0,1.0,197.0
1,7.040879386066909e+295,inf,27.93869320509883,1.4081758772133818e+298,2.0,197.0,2.675,0.9430668056930007,1.0,8.0,2.0,197.0,1.32,0.5635601121442149,0.0,4.0,2.0,197.0
2,3.2105348630942314e+146,4.5290167667183085e+147,27.93869320509883,6.421069726188463e+148,3.0,197.0,2.715,1.0647887114352783,1.0,9.0,3.0,197.0,1.275,0.5739120141624497,0.0,4.0,3.0,197.0
3,151189666833.11423,1504318150496.8284,25.28382935141784,15121357115200.371,4.0,197.0,2.87,1.184525221343978,2.0,9.0,4.0,197.0,1.345,0.6752592094892155,1.0,5.0,4.0,197.0
4,226772584267.36118,1837650923206.9067,24.779035993284115,15121368429093.959,5.0,197.0,2.83,1.0005498488331304,1.0,8.0,5.0,197.0,1.33,0.592536918681022,0.0,3.0,5.0,197.0
5,3571.276188383445,15369.467111269927,24.530519660264932,78092.11154017421,6.0,197.0,3.04,1.195156893466293,2.0,9.0,6.0,197.0,1.37,0.634901567173999,1.0,4.0,6.0,197.0
6,23994313.28438063,338384843.0753197,24.461339641138263,4797499944.927744,7.0,197.0,3.345,1.206637891001273,1.0,9.0,7.0,197.0,1.485,0.8183978250215478,0.0,6.0,7.0,197.0
7,3873.1537523504007,18228.540034776484,24.06822170888434,171602.8993588827,8.0,197.0,3.795,1.4081814513762068,1.0,10.0,8.0,197.0,1.745,0.9797831392711348,0.0,7.0,8.0,197.0
8,2285.9704782362537,11952.406539860109,24.00519316566252,73254.22332311822,9.0,197.0,3.905,1.498657732772897,1.0,9.0,9.0,197.0,1.87,1.1238772174930856,0.0,7.0,9.0,197.0
9,3.070993700520278e+297,inf,24.232599974876532,6.141987401040556e+299,10.0,197.0,4.02,1.6581917862539302,1.0,9.0,10.0,197.0,1.96,1.2760877712759418,0.0,7.0,10.0,197.0
10,1.2962822113828526e+181,inf,23.981751799999618,2.5925644227657054e+183,11.0,197.0,3.77,1.9741073932286461,1.0,13.0,11.0,197.0,1.82,1.4204224723651762,0.0,7.0,11.0,197.0
11,4.260839420652857e+299,inf,23.903933237923255,8.521678841305714e+301,12.0,197.0,3.69,2.0745842957084197,1.0,10.0,12.0,197.0,1.77,1.5189140857862897,0.0,7.0,12.0,197.0
12,87.1599609002224,132.8617334777309,23.676986729410622,402.0280770749791,13.0,197.0,3.335,2.1800860074776867,1.0,9.0,13.0,197.0,1.58,1.6011246047700347,0.0,7.0,13.0,197.0
13,1197.5165599819031,11632.808901009472,23.903933237923255,146198.91025774588,14.0,197.0,3.185,2.291456960102022,1.0,11.0,14.0,197.0,1.525,1.7576617990956054,0.0,9.0,14.0,197.0
14,4.3732267494112664e+299,inf,23.903933237923255,8.63265798780198e+301,15.0,197.0,3.22,2.494313532818198,1.0,14.0,15.0,197.0,1.55,1.851350858157362,0.0,8.0,15.0,197.0
15,4.2601353299303116e+299,inf,23.903933237923255,8.520270659860624e+301,16.0,197.0,2.92,2.462437816473748,1.0,14.0,16.0,197.0,1.355,1.8272862392082965,0.0,10.0,16.0,197.0
16,2.7760356172598253e+220,inf,23.619519477632057,5.552071234519651e+222,17.0,197.0,2.75,2.5074887836239665,1.0,14.0,17.0,197.0,1.335,1.9881586958791793,0.0,10.0,17.0,197.0
17,1131.6922460485723,8680.103462871259,23.903933237923255,79129.5386380675,18.0,197.0,3.12,2.768681996907554,1.0,14.0,18.0,197.0,1.53,2.1281682264332393,0.0,10.0,18.0,197.0
18,49.53263598390464,88.60804376331674,23.903933237923255,384.70886287844627,19.0,197.0,3.0,2.6645825188948455,1.0,12.0,19.0,197.0,1.505,2.1236701721312565,0.0,10.0,19.0,197.0
19,3.0083745230653705e+29,4.2438345124836465e+30,23.903933237923255,6.016749046130741e+31,20.0,197.0,2.725,2.4185481181899195,1.0,11.0,20.0,197.0,1.3,1.9078784028338913,0.0,9.0,20.0,197.0
20,839.031529537916,7648.143319189888,23.85467703968049,81136.27530326488,21.0,197.0,3.025,2.8678171141131017,1.0,15.0,21.0,197.0,1.49,2.167925275465001,0.0,10.0,21.0,197.0
21,6000.431779019485,72837.97846900056,23.84344384886948,1027256.1702755642,22.0,197.0,3.11,3.106106888051343,1.0,15.0,22.0,197.0,1.595,2.375073683067538,0.0,10.0,22.0,197.0
22,61583.19193561589,858040.2840593583,23.903933237923255,12165317.852583943,23.0,197.0,3.095,3.2071755486720708,1.0,16.0,23.0,197.0,1.555,2.4139127987564093,0.0,10.0,23.0,197.0
23,445.0122906536719,5382.223607826017,23.903933237923255,76354.91207250448,24.0,197.0,3.09,3.023557507308237,1.0,15.0,24.0,197.0,1.565,2.2903656913252957,0.0,10.0,24.0,197.0
24,6.288879409403797e+266,inf,23.903933237923255,1.2577758818807595e+269,25.0,197.0,3.26,3.3693322780634145,1.0,15.0,25.0,197.0,1.705,2.5491125906871983,0.0,10.0,25.0,197.0
25,24039183.144973263,339108655.9385891,23.903933237923255,4807755460.383828,26.0,197.0,3.01,3.1400477703372602,1.0,15.0,26.0,197.0,1.58,2.591061558512264,0.0,10.0,26.0,197.0
